night,observationStartMJD,azimuth,altitude,rotTelPos,rotSkyPos,filter,band,scheduler_note,survey
1,61208.201382236985,180.46060701003083,74.34178364752916,-7.614660507900068,278.4046688434979,u_24,u,"templates uu, 30, 69",templates
2,61208.949003697984,14.051108869997899,73.80551113051877,44.422722639977685,58.08753264031231,r_57,r,greedy r,WFD (greedy)
3,61210.20012089963,353.5537453520576,74.17739744869588,25.383876869888887,59.02051394807074,u_24,u,"templates uu, 25, 25",templates
4,61211.32502462002,123.57604513041392,44.691284060280864,-38.92747832535917,217.126265688422,u_24,u,"DD:ELAISS1, 20260618, 0, 614",DDF
6,61212.94965840317,38.3602921597289,44.13544560602354,31.834306990444457,90.9933012713328,r_57,r,greedy r,WFD (greedy)
7,61213.949773451975,330.2624142691745,52.83378209983556,34.706457262254865,29.842101117014504,r_57,r,greedy r,WFD (greedy)
11,61217.95049045452,357.13176444332345,60.81477839875067,51.945530727180966,35.58672440113283,r_57,r,greedy r,WFD (greedy)
12,61218.95097743121,296.74215428256565,33.29896007999537,17.256765980422255,22.074913805101566,z_20,z,"twilight_near_sun, 0",twilight
13,61219.95089509826,25.019429601785212,65.71028841525171,39.720127361365655,71.96919964120029,r_57,r,greedy r,WFD (greedy)
14,61220.95106248418,0.6146548304230832,73.14280283928684,-5.422076414274355,95.99105523371777,r_57,r,greedy r,WFD (greedy)
15,61222.200654587934,275.34809491415314,73.65531572558096,-32.54482822412027,47.00015318278643,y_10,y,"templates yy, 4, 43",templates
16,61222.95189228054,298.2243469953872,32.5120858207143,6.559879963707309,33.59729224885334,i_39,i,"twilight_near_sun, 0",twilight
19,61225.95235780433,20.746563240323805,66.01906577668694,16.832240501892063,91.20615797952786,r_57,r,greedy r,WFD (greedy)
20,61226.95298138313,292.86632672845616,31.99809568239216,30.943804169936058,6.206846814804032,i_39,i,"twilight_near_sun, 0",twilight
21,61227.95295463316,333.5492537812666,74.54572050895155,-16.436456514518206,82.83544495129573,r_57,r,greedy r,WFD (greedy)
22,61229.20019363744,2.0141997401086376,61.49096577976951,57.410763189394785,34.47203012398212,i_39,i,"templates iz, 18, 18",templates
23,61229.95351765033,18.55122236787325,68.83112123410594,48.321315710479105,57.948888613348636,r_57,r,greedy r,WFD (greedy)
24,61231.200981196715,127.02889922604305,27.11214802853024,-46.8896649933786,209.807690039063,u_24,u,"DD:ELAISS1, 20260708, 0, 617",DDF
26,61232.95439556419,21.55002491855625,65.53723266852522,-2.96495613244748,111.69479854415509,r_57,r,greedy r,WFD (greedy)
28,61234.955389915216,290.60636042089743,32.53540682992684,-41.51612893119254,77.47694375138224,i_39,i,"twilight_near_sun, 0",twilight
29,61236.3259377365,75.96766120946734,31.137685714486665,8.574954281949275,138.57091507590943,u_24,u,"DD:XMM_LSS, 20260712, 0, 1",DDF
30,61236.95569216637,22.94670189897437,61.53043237126697,30.25686230990766,79.55609094792302,r_57,r,greedy r,WFD (greedy)
31,61238.20014514243,357.30543946785343,69.8859095359365,57.43435120263038,30.339918708930245,u_24,u,"templates uu, 7, 46",templates
32,61239.20632317685,21.481906516929968,70.59065147587883,-19.71608411058914,128.71120670276005,u_24,u,"templates uu, 37, 37",templates
33,61239.95671383948,358.8728140231687,56.483695873021915,-14.837117999995467,103.93318984144176,r_57,r,greedy r,WFD (greedy)
34,61240.957093293124,31.075238593967914,48.716751300058085,-3.0539391508981257,119.82420254771945,r_57,r,greedy r,WFD (greedy)
35,61241.95786518912,91.29465268937147,70.81378503977281,-36.88501361563539,207.35517944543636,r_57,r,greedy r,WFD (greedy)
36,61243.200840100566,251.0770264820128,82.85214391423936,-44.44127681284794,29.848597653493407,i_39,i,"pair_33, iz, bs 52, a",WFD (pairs)
37,61243.95809404393,342.7821669314889,52.349888943195985,-2.3655589660428484,77.52384047357238,r_57,r,greedy r,WFD (greedy)
39,61245.95865841471,352.66135971502916,73.70386375325609,21.838704092699636,61.71482728382131,r_57,r,greedy r,WFD (greedy)
40,61246.95943495765,288.1608534272305,33.80448154130343,-7.565782353940523,42.22563587865585,r_57,r,"twilight_near_sun, 0",twilight
41,61247.959402826215,353.22212469781647,71.90415153315045,41.20747523817431,42.893378688669124,r_57,r,greedy r,WFD (greedy)
